network,autonomous_system_number,autonomous_system_organization
65.9.17.0/24,16509,amazon-02
65.9.12.0/22,16509,amazon-02
65.9.11.0/24,16509,amazon-02
65.9.9.0/24,16509,amazon-02
65.9.6.0/23,16509,amazon-02
65.9.4.0/24,16509,amazon-02
65.9.3.0/24,16509,amazon-02
65.9.19.0/24,16509,amazon-02
65.9.0.0/23,16509,amazon-02
65.8.208.0/20,16509,amazon-02
65.8.200.0/21,16509,amazon-02
65.8.186.0/24,16509,amazon-02
65.8.184.0/23,16509,amazon-02
65.8.176.0/21,16509,amazon-02
65.8.160.0/20,16509,amazon-02
65.8.128.0/19,16509,amazon-02
65.8.224.0/19,16509,amazon-02
65.9.20.0/22,16509,amazon-02
65.9.24.0/21,16509,amazon-02
65.9.32.0/21,16509,amazon-02
66.51.208.0/24,16509,amazon-02
66.37.128.0/24,16509,amazon-02
66.33.96.0/24,16509,amazon-02
66.22.190.0/24,16509,amazon-02
66.22.176.0/24,16509,amazon-02
65.110.54.0/24,16509,amazon-02
65.110.52.0/23,16509,amazon-02
65.37.240.0/24,16509,amazon-02
65.9.128.0/18,16509,amazon-02
65.9.96.0/19,16509,amazon-02
65.9.88.0/21,16509,amazon-02
65.9.87.0/24,16509,amazon-02
65.9.64.0/21,16509,amazon-02
65.9.60.0/22,16509,amazon-02
65.9.58.0/23,16509,amazon-02
65.9.42.0/24,16509,amazon-02
65.9.40.0/23,16509,amazon-02
65.8.120.0/21,16509,amazon-02
66.51.210.0/23,16509,amazon-02
65.8.116.0/22,16509,amazon-02
65.8.96.0/22,16509,amazon-02
64.252.166.0/23,16509,amazon-02
64.252.164.0/24,16509,amazon-02
64.252.162.0/23,16509,amazon-02
64.252.161.0/24,16509,amazon-02
64.252.159.0/24,16509,amazon-02
64.252.154.0/23,16509,amazon-02
64.252.152.0/24,16509,amazon-02
64.252.168.0/22,16509,amazon-02
64.252.151.0/24,16509,amazon-02
64.252.144.0/23,16509,amazon-02
64.252.136.0/21,16509,amazon-02
64.252.132.0/22,16509,amazon-02
64.252.130.0/23,16509,amazon-02
64.252.129.0/24,16509,amazon-02
64.252.124.0/24,16509,amazon-02
64.252.120.0/22,16509,amazon-02
64.252.148.0/23,16509,amazon-02
64.252.172.0/23,16509,amazon-02
64.252.175.0/24,16509,amazon-02
64.252.176.0/22,16509,amazon-02
65.8.64.0/19,16509,amazon-02
65.8.32.0/19,16509,amazon-02
65.8.24.0/21,16509,amazon-02
65.8.22.0/23,16509,amazon-02
65.8.21.0/24,16509,amazon-02
65.8.18.0/24,16509,amazon-02
65.8.16.0/23,16509,amazon-02
65.8.12.0/22,16509,amazon-02
65.8.8.0/23,16509,amazon-02
65.8.0.0/21,16509,amazon-02
65.0.0.0/14,16509,amazon-02
64.252.190.0/24,16509,amazon-02
64.252.188.0/23,16509,amazon-02
64.252.186.0/23,16509,amazon-02
64.252.185.0/24,16509,amazon-02
64.252.182.0/23,16509,amazon-02
64.252.180.0/24,16509,amazon-02
65.8.114.0/23,16509,amazon-02
66.51.212.0/22,16509,amazon-02
66.51.216.0/22,16509,amazon-02
66.54.74.0/23,16509,amazon-02
69.64.146.0/23,16509,amazon-02
69.59.250.0/23,16509,amazon-02
69.59.248.0/24,16509,amazon-02
69.59.247.0/24,16509,amazon-02
69.58.34.0/24,16509,amazon-02
69.58.24.0/24,16509,amazon-02
69.53.251.0/24,16509,amazon-02
69.64.148.0/23,16509,amazon-02
69.52.220.0/23,16509,amazon-02
69.52.208.0/24,16509,amazon-02
69.10.24.0/24,16509,amazon-02
69.7.76.0/23,16509,amazon-02
68.233.40.0/24,16509,amazon-02
68.71.238.0/24,16509,amazon-02
68.71.232.0/23,16509,amazon-02
68.70.127.0/24,16509,amazon-02
69.52.214.0/23,16509,amazon-02
69.64.150.0/24,16509,amazon-02
69.64.152.0/24,16509,amazon-02
69.64.154.0/23,16509,amazon-02
70.132.48.0/22,16509,amazon-02
70.132.46.0/24,16509,amazon-02
70.132.44.0/24,16509,amazon-02
70.132.43.0/24,16509,amazon-02
70.132.40.0/24,16509,amazon-02
70.132.32.0/21,16509,amazon-02
70.132.28.0/22,16509,amazon-02
70.132.27.0/24,16509,amazon-02
70.132.24.0/23,16509,amazon-02
70.132.23.0/24,16509,amazon-02
70.132.20.0/23,16509,amazon-02
70.132.16.0/22,16509,amazon-02
70.132.0.0/20,16509,amazon-02
69.169.224.0/20,16509,amazon-02
69.94.8.0/23,16509,amazon-02
69.72.44.0/22,16509,amazon-02
69.64.156.0/24,16509,amazon-02
68.66.112.0/20,16509,amazon-02
68.64.5.0/24,16509,amazon-02
67.226.222.0/23,16509,amazon-02
67.222.254.0/24,16509,amazon-02
66.178.140.0/23,16509,amazon-02
66.178.139.0/24,16509,amazon-02
66.178.136.0/23,16509,amazon-02
66.178.132.0/22,16509,amazon-02
66.178.130.0/24,16509,amazon-02
66.159.230.0/24,16509,amazon-02
66.159.226.0/24,16509,amazon-02
66.129.248.0/24,16509,amazon-02
66.129.247.0/24,16509,amazon-02
66.117.30.0/23,16509,amazon-02
66.117.26.0/24,16509,amazon-02
66.117.24.0/23,16509,amazon-02
66.117.22.0/23,16509,amazon-02
66.117.20.0/24,16509,amazon-02
66.81.241.0/24,16509,amazon-02
66.81.227.0/24,16509,amazon-02
66.81.8.0/24,16509,amazon-02
66.178.142.0/24,16509,amazon-02
91.190.171.0/24,16509,amazon-02
66.179.16.0/24,16509,amazon-02
66.182.132.0/23,16509,amazon-02
67.222.249.0/24,16509,amazon-02
67.221.38.0/24,16509,amazon-02
67.220.224.0/19,16509,amazon-02
67.219.250.0/24,16509,amazon-02
67.219.247.0/24,16509,amazon-02
67.219.241.0/24,16509,amazon-02
67.202.213.0/24,16509,amazon-02
67.199.239.0/24,16509,amazon-02
67.20.60.0/24,16509,amazon-02
