network,autonomous_system_number,autonomous_system_organization
135.130.0.0/16,8075,microsoft-corp-msn-as-block
131.253.40.0/21,8075,microsoft-corp-msn-as-block
135.149.0.0/16,8075,microsoft-corp-msn-as-block
137.70.154.0/24,8075,microsoft-corp-msn-as-block
137.70.156.0/24,8070,microsoft-corp-msn-as-block
137.70.158.0/24,8070,microsoft-corp-msn-as-block
137.116.0.0/15,8075,microsoft-corp-msn-as-block
137.135.0.0/16,8075,microsoft-corp-msn-as-block
138.32.108.0/24,8075,microsoft-corp-msn-as-block
138.91.0.0/16,8075,microsoft-corp-msn-as-block
138.105.0.0/16,8075,microsoft-corp-msn-as-block
138.128.250.0/23,8075,microsoft-corp-msn-as-block
138.239.0.0/16,8075,microsoft-corp-msn-as-block
141.193.248.0/24,8075,microsoft-corp-msn-as-block
142.0.188.0/23,8075,microsoft-corp-msn-as-block
137.70.152.0/24,8075,microsoft-corp-msn-as-block
103.180.108.0/24,8075,microsoft-corp-msn-as-block
131.253.36.0/22,8075,microsoft-corp-msn-as-block
131.253.33.0/24,8068,microsoft-corp-msn-as-block
104.40.0.0/13,8075,microsoft-corp-msn-as-block
104.146.128.0/17,8075,microsoft-corp-msn-as-block
104.208.0.0/13,8075,microsoft-corp-msn-as-block
104.234.235.0/24,8075,microsoft-corp-msn-as-block
108.140.0.0/14,8075,microsoft-corp-msn-as-block
108.161.110.0/24,8075,microsoft-corp-msn-as-block
108.165.60.0/24,8075,microsoft-corp-msn-as-block
111.221.16.0/21,8075,microsoft-corp-msn-as-block
111.221.24.0/22,8075,microsoft-corp-msn-as-block
111.221.29.0/24,8075,microsoft-corp-msn-as-block
111.221.30.0/23,8075,microsoft-corp-msn-as-block
111.221.64.0/18,8075,microsoft-corp-msn-as-block
131.253.34.0/23,8075,microsoft-corp-msn-as-block
113.197.64.0/22,8075,microsoft-corp-msn-as-block
129.35.19.0/24,8075,microsoft-corp-msn-as-block
130.115.248.0/21,8075,microsoft-corp-msn-as-block
81.22.128.0/24,8075,microsoft-corp-msn-as-block
131.253.1.0/24,8075,microsoft-corp-msn-as-block
131.253.3.0/24,8068,microsoft-corp-msn-as-block
131.253.5.0/24,8075,microsoft-corp-msn-as-block
131.253.6.0/24,8075,microsoft-corp-msn-as-block
131.253.8.0/24,8075,microsoft-corp-msn-as-block
131.253.12.0/22,8075,microsoft-corp-msn-as-block
131.253.21.0/24,8068,microsoft-corp-msn-as-block
131.253.24.0/21,8075,microsoft-corp-msn-as-block
131.253.32.0/24,8075,microsoft-corp-msn-as-block
128.94.0.0/16,8075,microsoft-corp-msn-as-block
74.248.0.0/15,8075,microsoft-corp-msn-as-block
68.218.0.0/15,8075,microsoft-corp-msn-as-block
74.234.0.0/15,8075,microsoft-corp-msn-as-block
51.51.0.0/16,8075,microsoft-corp-msn-as-block
51.53.0.0/16,8075,microsoft-corp-msn-as-block
51.103.0.0/16,8075,microsoft-corp-msn-as-block
51.104.0.0/15,8075,microsoft-corp-msn-as-block
51.107.0.0/16,8075,microsoft-corp-msn-as-block
51.116.0.0/16,8075,microsoft-corp-msn-as-block
51.120.0.0/16,8075,microsoft-corp-msn-as-block
51.124.0.0/16,8075,microsoft-corp-msn-as-block
51.132.0.0/16,8075,microsoft-corp-msn-as-block
51.136.0.0/15,8075,microsoft-corp-msn-as-block
51.138.0.0/16,8075,microsoft-corp-msn-as-block
51.140.0.0/14,8075,microsoft-corp-msn-as-block
51.144.0.0/15,8075,microsoft-corp-msn-as-block
52.96.0.0/12,8075,microsoft-corp-msn-as-block
52.112.0.0/16,8075,microsoft-corp-msn-as-block
52.113.0.0/17,8075,microsoft-corp-msn-as-block
52.113.128.0/18,8075,microsoft-corp-msn-as-block
52.113.192.0/23,8075,microsoft-corp-msn-as-block
52.113.194.0/23,8068,microsoft-corp-msn-as-block
52.113.196.0/23,8068,microsoft-corp-msn-as-block
52.113.198.0/23,8075,microsoft-corp-msn-as-block
52.113.200.0/21,8075,microsoft-corp-msn-as-block
52.113.208.0/20,8075,microsoft-corp-msn-as-block
52.113.224.0/19,8075,microsoft-corp-msn-as-block
52.114.0.0/15,8075,microsoft-corp-msn-as-block
52.120.0.0/15,8075,microsoft-corp-msn-as-block
52.122.0.0/19,8069,microsoft-corp-msn-as-block
52.122.32.0/22,8069,microsoft-corp-msn-as-block
52.122.36.0/22,8075,microsoft-corp-msn-as-block
51.12.0.0/15,8075,microsoft-corp-msn-as-block
51.10.0.0/15,8075,microsoft-corp-msn-as-block
51.8.0.0/16,8075,microsoft-corp-msn-as-block
51.4.0.0/15,8075,microsoft-corp-msn-as-block
40.66.0.0/17,8075,microsoft-corp-msn-as-block
40.67.0.0/16,8075,microsoft-corp-msn-as-block
40.68.0.0/14,8075,microsoft-corp-msn-as-block
40.74.0.0/15,8075,microsoft-corp-msn-as-block
40.76.0.0/14,8075,microsoft-corp-msn-as-block
40.80.0.0/12,8075,microsoft-corp-msn-as-block
40.96.0.0/13,8075,microsoft-corp-msn-as-block
40.104.0.0/14,8075,microsoft-corp-msn-as-block
40.108.128.0/17,8075,microsoft-corp-msn-as-block
40.110.0.0/15,8075,microsoft-corp-msn-as-block
40.112.0.0/13,8075,microsoft-corp-msn-as-block
40.120.0.0/14,8075,microsoft-corp-msn-as-block
40.124.0.0/16,8075,microsoft-corp-msn-as-block
40.125.0.0/17,8075,microsoft-corp-msn-as-block
52.122.40.0/21,8069,microsoft-corp-msn-as-block
40.126.0.0/18,8075,microsoft-corp-msn-as-block
40.127.0.0/16,8075,microsoft-corp-msn-as-block
40.162.0.0/16,8075,microsoft-corp-msn-as-block
40.169.0.0/16,8075,microsoft-corp-msn-as-block
40.170.0.0/15,8075,microsoft-corp-msn-as-block
41.223.11.0/24,8075,microsoft-corp-msn-as-block
45.8.43.0/24,8075,microsoft-corp-msn-as-block
45.66.80.0/24,8075,microsoft-corp-msn-as-block
45.82.119.0/24,8075,microsoft-corp-msn-as-block
45.143.224.0/23,8075,microsoft-corp-msn-as-block
45.146.100.0/22,8075,microsoft-corp-msn-as-block
46.29.242.0/24,8075,microsoft-corp-msn-as-block
48.192.0.0/12,8075,microsoft-corp-msn-as-block
48.208.0.0/13,8075,microsoft-corp-msn-as-block
48.216.0.0/14,8075,microsoft-corp-msn-as-block
40.126.128.0/17,8075,microsoft-corp-msn-as-block
74.240.0.0/14,8075,microsoft-corp-msn-as-block
52.122.48.0/20,8069,microsoft-corp-msn-as-block
52.122.128.0/19,8069,microsoft-corp-msn-as-block
64.13.130.0/24,8075,microsoft-corp-msn-as-block
64.15.23.0/24,8075,microsoft-corp-msn-as-block
64.15.25.0/24,8075,microsoft-corp-msn-as-block
64.72.206.0/24,8075,microsoft-corp-msn-as-block
65.52.0.0/16,8075,microsoft-corp-msn-as-block
65.54.0.0/15,8075,microsoft-corp-msn-as-block
